1DU6_1	1DU6_1
5B6O_1	2Z3D_1
5B6O_1	3AVZ_1
5B6O_1	3AW1_1
5B6O_1	3AW0_1
5B6O_1	2GTB_1
5B6O_1	2A5A_1
5B6O_1	7MGR_1
5B6O_1	2GT8_1
5B6O_1	2GT7_1
5B6O_1	7DJR_1
5B6O_1	3VB4_1
5B6O_1	3VB6_1
5B6O_1	3VB7_1
5B6O_1	3VB3_1
5B6O_1	3IWM_1
5B6O_1	3VB5_1
5B6O_1	2GX4_1
5B6O_1	7M2P_1
5B6O_1	7MGS_1
5B6O_1	3SNB_1
5B6O_1	3SNC_1
5B6O_1	3SNE_1
5B6O_1	3SN8_1
5B6O_1	3SND_1
5B6O_1	3SNA_1
5B6O_1	7N89_1
5B6O_1	2OP9_1
5B6O_1	2DUC_1
5B6O_1	9DW6_1
5B6O_1	4XFQ_1
5B6O_1	4ZUH_1
5B6O_1	4WME_1
5B6O_1	4WMD_1
5B6O_1	4WMF_1
5B6O_1	5C3N_1
5B6O_1	4RSP_1
5B6O_1	4YLU_1
6C92_1	6C92_1
6C92_1	5BK7_1
6C92_1	6C92_2
6C92_1	6C8T_1
6C92_1	6C8T_2
6C92_1	6C9B_1
6FHP_1	6FHP_1
6FHP_2	6FHP_2
6KUB_1	6KUB_1
6KUB_1	2R9B_1
6KUB_1	6KUD_1
6KUB_1	6KUC_1
6MRR_1	6MRR_1
6NUK_1	6NUK_1
6W2H_1	6W2H_1
6MRS_1	6MRS_1
7CBC_1	7CBC_1
7CDH_1	7CDH_1
7CDH_1	7CF6_1
7CDH_1	1ONX_1
7CDH_1	1ONW_1
7CN6_1	7CN6_1
7CN6_1	7CN7_2
1JG1_1	1JG1_1
1JG1_1	1JG4_1
1JG1_1	1JG3_1
1JG1_1	1JG2_1
6WI4_1	6WI4_1
6WI4_1	4PS0_1
6WI4_1	4PRY_1
6WI4_1	4JJE_1
6WI4_1	4JQY_1
6WI4_1	4JQZ_1
6WI4_1	4JR0_1
6VW7_1	6VW7_1
6VW7_1	6VW8_1
6VW7_2	6VW7_2
6VW7_2	6VW8_2
7BJK_1	7BJK_1
2AST_1	2AST_1
2AST_1	6WNX_2
2AST_1	5VZT_1
2AST_1	5VZU_1
2AST_1	6M94_2
2AST_1	6M90_2
2AST_1	6M91_2
2AST_1	6M93_2
2AST_1	6M92_2
2AST_1	2P1N_1
2AST_1	2P1O_1
2AST_1	2P1P_1
2AST_1	2P1Q_1
2AST_1	2P1M_1
2AST_1	3MKS_1
2AST_1	1NEX_1
2AST_1	3V7D_1
2AST_2	2AST_2
2AST_3	2AST_3
1WUN_3	1WUN_3
1WUN_3	1WV7_3
1WUN_3	1WQV_3
1WUN_3	1WSS_3
1WUN_3	2ZWL_3
1WUN_3	1WTG_3
1WUN_3	2A2Q_3
1WUN_3	2FIR_3
1WUN_3	2AER_3
1WUN_3	2ZP0_3
4JEU_2	4JEU_2
4JEU_2	4JEH_2
4JEU_2	3C98_2
4TWI_1	4TWI_1
4TWI_1	1MA3_1
4TWI_1	4TWJ_1
4TWI_1	1S7G_1
4TWI_1	6RXL_1
4TWI_1	6RXK_1
4TWI_1	6RXJ_1
4TWI_1	6RXP_1
4TWI_1	6RXM_1
4TWI_1	6RXO_1
4TWI_1	6RXS_1
4TWI_1	6RXQ_1
4TWI_1	6RXR_1
4TWI_1	2H4F_1
4TWI_1	3PDH_1
4TWI_1	2H4H_1
4TWI_1	2H4J_1
4TWI_1	2H59_1
4TWI_1	3JR3_1
4TWI_1	3D4B_1
4TWI_1	2H2D_1
4TWI_1	2H2F_1
4TWI_1	2H2H_1
4TWI_1	2H2G_1
4TWI_1	2H2I_1
4TWI_1	1YC5_1
4TWI_1	3D81_1
4TWI_1	4BUZ_1
4TWI_1	4BV2_1
4TWI_1	5BWL_1
4TWI_1	4UTN_1
4TWI_1	4UTZ_1
4TWI_1	4UTR_1
4TWI_1	4UTV_1
4TWI_1	4UU8_1
4TWI_1	4UU7_1
4TWI_1	4UTX_1
4TWI_1	4UUB_1
4TWI_1	4UUA_1
4TWI_1	4HDA_1
4TWI_1	6ACE_1
4TWI_1	6ACP_1
4TWI_1	6ACO_1
4TWI_1	6ACL_1
4TWI_1	6FKY_1
4TWI_1	6FKZ_1
4TWI_1	6FLG_1
4TWI_1	4F4U_1
4TWI_1	4F56_1
4TWI_1	4G1C_1
4TWI_1	6LJM_1
4TWI_1	6LJN_1
4TWI_1	6LJK_1
4TWI_1	5OJO_1
6GRG_1	6GRG_1
6GRG_1	6GOS_1
6OIT_3	6OIT_3
7C1H_1	7C1H_1
7C1H_1	7C1R_1
7C1H_1	7C1U_1
7C1H_1	7C1S_1
7C1H_1	7C1L_1
7C1H_1	7C1K_1
7C1H_1	7C1P_1
1OM9_1	1OM9_1
1OM9_1	1P4U_1
1OM9_1	2DWY_1
1OM9_1	2DWX_1
4N6L_1	4N6L_1
4N6L_1	4N6M_1
5CVE_1	5CVE_1
5CVE_1	5CVD_1
5CVE_1	6WH8_1
5CVE_1	5E1D_1
5CVE_1	5E1M_1
5CVE_1	5E1B_1
5CVE_1	5E1O_1
5CVE_1	5E2B_1
5CVE_1	5E2A_1
5CVE_1	6KDQ_1
5CVE_1	6KDR_1
5CVE_1	6DUB_1
5CVE_1	5UBB_1
5CVE_1	6KDS_1
3AJB_1	3AJB_1
3AJB_1	3MK4_1
3HN7_1	3HN7_1
2G6Q_1	2G6Q_1
2G6Q_1	3C6W_1
2G6Q_1	2QIC_1
2G6Q_1	2VNF_1
2G6Q_1	2PNX_1
1PYC_1	1PYC_1
3BFW_1	3BFW_1
3BFW_1	3BFQ_1
3BFW_1	5IQN_1
3BFW_1	5IQM_1
3BFW_1	5IQO_1
4B9W_1	4B9W_1
4B9W_1	4B9X_1
3C0J_1	3C0J_1
3TV9_1	3TV9_1
3TV9_1	5NJ5_2
3TV9_1	5NJA_2
3TV9_1	5NJB_2
3TV9_1	5NJF_2
3TV9_1	5NJ9_2
3TV9_1	5NJC_2
3G7L_1	3G7L_1
3G7L_1	2RSN_1
7MGV_1	7MGV_1
1W5D_1	1W5D_1
1W5D_1	2J9P_1
1W5D_1	2VGK_1
1W5D_1	2VGJ_1
1W5D_1	2XDM_1
2YKT_1	2YKT_1
1NLU_1	1NLU_1
2JNW_1	2JNW_1
5NWM_1	5NWM_1
5NWM_1	5Y7W_1
5NWM_1	5NWX_1
5NWM_1	1OJ5_1
1CA9_1	1CA9_1
1CA9_1	1QSC_1
1CA9_1	1CA4_1
1CA9_1	1D0J_1
1CA9_1	1D01_1
1CA9_1	1D0A_1
1CA9_1	1D00_1
1CA9_1	1CZZ_1
1CA9_1	1CZY_1
1CA9_1	8T5Q_1
1CA9_1	5YC1_1
1CA9_1	4GHU_1
1CA9_1	4GJH_1
1CA9_1	8T5P_1
2OXG_1	2OXG_1
2OXG_1	2OX5_1
2OXG_1	2OXH_1
2OXG_2	2OXG_2
2OXG_2	2OX5_2
2OXG_2	2OXH_2
4YRW_1	4YRW_1
4YRW_1	4YTZ_1
4YRW_1	4YTY_1
4YRW_1	4YSW_1
1ZHG_1	1ZHG_1
1LTR_1	1LTR_1
1LTR_1	1B44_1
1LTR_1	1DJR_1
1LTR_1	1LTG_1
1SPJ_1	1SPJ_1
1HR9_1	1HR9_1
1HR9_1	1HR8_1
1HR9_1	1HR7_1
1HR9_1	1HR6_1
1HR9_2	1HR9_2
1HR9_2	1HR8_2
1HR9_2	1HR7_2
1HR9_2	1HR6_2
6F6D_1	6F6D_1
6F6D_1	5OY3_1
6F6D_1	4EZH_1
6F6D_1	3AVS_1
6F6D_1	3AVR_1
6UUN_3	6UUN_3
6UUN_6	6UUN_6
6UUN_6	6UUS_5
6UUN_6	2L7S_1
3U3Z_1	3U3Z_1
3U3Z_1	3T1N_1
6B27_1	6B27_1
6YW2_1	6YW2_1
6YW2_1	6YW1_1
6YW2_1	6YW4_1
6YW2_1	6YW3_1
6YW2_1	8Q5S_1
6YW2_1	8Q6E_1
6YW2_1	8Q6D_1
4CQJ_1	4CQJ_1
3CD3_1	3CD3_1
3CD3_1	3CBL_1
3CD3_1	2SRC_1
3CD3_1	1KSW_1
5FML_2	5FML_2
6NID_1	6NID_1
6NID_1	2EJY_1
7KLD_1	7KLD_1
7KLD_1	7JVS_1
6R5M_1	6R5M_1
6R5M_1	1KU6_2
6R5M_1	1FRA_1
6R5M_1	1ERA_1
1K7L_1	1K7L_1
1K7L_1	6L96_1
1K7L_1	2P54_1
1K7L_1	5AZT_1
1K7L_1	7BPZ_1
1K7L_1	7BQ2_1
1K7L_1	7BQ3_1
1K7L_1	7BPY_1
1K7L_1	7BQ0_1
1K7L_1	7BQ1_1
1K7L_1	7BQ4_1
1K7L_1	6DGP_1
1K7L_1	6JEY_1
1K7L_1	6JF0_1
1K7L_1	3VN2_1
1K7L_1	6D94_1
1K7L_1	3U9Q_1
1K7L_1	6ONJ_1
1K7L_1	6PDZ_1
1K7L_1	6JQ7_1
1K7L_1	6ONI_1
1K7L_1	5GTP_1
1K7L_1	7CXF_1
1K7L_1	7CXI_1
1K7L_1	7CXK_1
1K7L_1	7CXH_1
1K7L_1	7CXL_1
1K7L_1	7CXJ_1
1K7L_1	3KMG_1
1K7L_1	6KTM_1
1K7L_1	3H0A_2
1K7L_1	9CWN_1
1K7L_1	9CK0_1
1K7L_1	9F7X_1
1K7L_1	9F7W_1
4BXR_1	4BXR_1
2XXM_1	2XXM_1
6WI9_6	6WI9_6
6WI9_6	6WZG_2
6WI9_6	7D3S_2
6WI9_6	6P9Y_6
6WI9_6	6LPB_2
6WI9_6	6M1I_1
6WI9_6	6M1H_1
2E0H_1	2E0H_1
2E0H_1	1T7B_1
2E0H_1	1KV0_1
2E0H_1	1T7A_1
2E0H_1	1T7E_1
2E0H_1	1SN4_1
2E0H_1	1SN1_1
2E0H_1	1CHZ_1
2E0H_1	4HHF_1
2E0H_1	2KBH_1
2E0H_1	2KBJ_1
2E0H_1	2LKB_1
2E0H_1	1AHO_1
2E0H_1	2A7T_1
2E0H_1	1FH3_1
1Y7K_1	1Y7K_1
1Y7K_1	1Y7J_1
6A1K_1	6A1K_1
3ZEH_1	3ZEH_1
3ZEH_1	2M16_1
3ZEH_1	3QJ6_1
7NXE_1	7NXE_1
1IIE_1	1IIE_1
2KJA_1	2KJA_1
2KJA_1	2LJM_1
2KJA_1	6VXW_1
2KJA_1	2LI7_1
2KJA_1	1PE4_1
3VA4_1	3VA4_1
3VA4_1	3UNN_1
3VA4_1	3VA1_1
3VA4_1	3UMZ_1
3VA4_1	3UNM_1
3VA4_1	3UOT_1
7JXG_1	7JXG_1
1OYX_1	1OYX_1
1OYX_1	1OZ2_1
1OYX_1	1OZ3_1
1OYX_1	3P8H_1
1OYX_1	2RJD_1
1OYX_1	2RJC_1
1OYX_1	2PQW_1
1OYX_1	2RJF_1
1OYX_1	2RJE_1
6BHD_1	6BHD_1
6BHD_1	6BHH_1
6BHD_1	6BHI_1
6BHD_1	6BHE_1
6BHD_1	6BHG_1
6BHD_1	6BPI_1
6BHD_1	6AU2_1
4TR6_1	4TR6_1
4O3U_2	4O3U_2
4O3U_1	4O3U_1
2A7U_2	2A7U_2
2DY8_1	2DY8_1
2Q3C_1	2Q3C_1
2Q3C_1	5XOQ_1
2Q3C_1	2Q3D_1
2Q3C_1	2Q3B_1
2Q3C_1	3ZEI_1
2Q3C_1	2ISQ_1
2Q3C_1	3SPX_1
2Q3C_1	3T4P_1
2Q3C_1	4AIR_1
2Q3C_1	4ZU1_1
2Q3C_1	7DJQ_2
2Q3C_1	1Y7L_1
2Q3C_1	4LI3_1
2Q3C_1	4ZU6_1
2Q3C_1	4NU8_1
2Q3C_1	6AIF_1
2Q3C_1	5DBE_1
2Q3C_1	3IQH_1
2Q3C_1	3IQG_1
2Q3C_1	3IQI_1
2Q3C_1	4JBL_1
2Q3C_1	4JBN_1
2Q3C_1	4IL5_1
2Q3C_1	5J43_1
2Q3C_1	5J5V_1
2RCZ_1	2RCZ_1
2RCZ_1	3CYY_1
4N7Z_2	4N7Z_2
6WXD_1	6WXD_1
6WXD_1	6W9Q_1
6WXD_1	6WC1_1
6BSB_1	6BSB_1
6BSB_1	6BSC_1
6BSB_2	6BSB_2
6BSB_2	6BSC_2
3IZQ_1	3IZQ_1
3IZQ_2	3IZQ_2
1PN6_1	1PN6_1
5LHK_1	5LHK_1
5LHK_1	5LHJ_1
1APJ_1	1APJ_1
1N88_1	1N88_1
5N4B_1	5N4B_1
5N4B_1	5N4D_1
5N4B_1	5N4F_1
5N4B_1	5N4C_1
5N4B_1	5N4E_1
3P7O_1	3P7O_1
3P7O_1	3CWW_1
3P7O_1	3N57_1
3P7O_1	3P7L_1
3P7O_1	3N56_1
3P7O_1	3E4A_1
3P7O_1	2WK3_1
3P7O_1	3E4Z_1
3P7O_1	3E50_1
3P7O_1	3HGZ_1
3P7O_1	2G47_1
3P7O_1	2G48_1
3P7O_1	2G49_1
3P7O_1	2G54_1
3P7O_1	2G56_1
3P7O_1	3TUV_1
3P7O_1	4IOF_1
3P7O_1	4PF7_1
3P7O_1	4PF9_1
3P7O_1	4PFC_1
3E7W_1	3E7W_1
3E7W_1	3E7X_1
2AIZ_1	2AIZ_1
1O9A_1	1O9A_1
2JMS_1	2JMS_1
2KXC_1	2KXC_1
2F8B_1	2F8B_1
2F8B_1	2EWL_1
2LLW_1	2LLW_1
2MTE_1	2MTE_1
2KGJ_1	2KGJ_1
2RNG_1	2RNG_1
2KHH_1	2KHH_1
2MTN_1	2MTN_1
2KC9_1	2KC9_1
2KC9_1	2KC8_1
2LLV_1	2LLV_1
3AVB_1	3AVB_1
3AVB_1	3AVC_1
3AVB_1	3AVA_1
3AVB_1	3AVI_1
3AVB_1	3AVJ_1
3AVB_1	3AVK_1
3AVB_1	3AVM_1
3AVB_1	3AVN_1
3AVB_1	3AVF_1
3AVB_1	3AVH_1
3AVB_1	3AVL_1
3AVB_1	3AVG_1
3AVB_1	3AV9_1
3AVB_1	6EX9_1
1AOC_1	1AOC_1
1IM3_4	1IM3_4
3L91_1	3L91_1
3L91_1	3L94_1
3L91_1	3SRA_1
3L91_1	3SRC_1
3L91_1	3SRB_1
3L91_1	4K2G_1
3L91_1	4K2F_1
3L91_2	3L91_2
3L91_2	3L94_2
3L91_2	3SRA_2
3L91_2	3SRC_2
3L91_2	3SRB_2
3L91_2	4K2G_2
3L91_2	4K2F_2
3UAT_1	3UAT_1
3UAT_1	5YPR_1
3VAR_1	3VAR_1
3VAR_1	3VAT_1
3VAR_1	4DYO_1
5T3W_1	5T3W_1
5T3W_1	5T3T_1
4KS8_1	4KS8_1
4KS8_1	4KS7_1
4KS8_1	4JDI_1
4KS8_1	4JDH_1
4KS8_1	4JDJ_1
4KS8_1	4JDK_1
4KS8_1	6WLY_1
4KS8_1	6WLX_1
4KS8_1	2Q0N_1
4KS8_1	4FIF_1
4KS8_1	4FIH_1
4KS8_1	4FII_1
4KS8_1	4L67_1
4KS8_1	4XBU_1
4KS8_1	5UPK_2
6OIF_1	6OIF_1
6WWZ_2	6WWZ_2
6WWZ_2	2JYO_1
6WWZ_4	6WWZ_4
6WWZ_4	7MBY_5
6WWZ_4	7L1U_1
6WWZ_4	7L1V_1
6WWZ_4	7E14_1
6WWZ_4	6LPB_4
6WWZ_4	8U26_1
7CKC_1	7CKC_1
7CKC_1	7CKB_1
7CKC_2	7CKC_2
7CKC_2	7CKB_2
5XJM_1	5XJM_1
5XJM_1	6DO1_1
5XJM_1	5NJ6_1
7O1Q_1	7O1Q_1
7RDR_1	7RDR_1
2J05_1	2J05_1
2J05_1	2J06_1
1CUR_1	1CUR_1
6BPH_1	6BPH_1
1D6T_1	1D6T_1
1CEE_2	1CEE_2
1DCJ_1	1DCJ_1
1MZK_1	1MZK_1
1F7W_1	1F7W_1
1F7W_1	1F7X_1
1XX3_1	1XX3_1
2KN2_1	2KN2_1
2I8L_1	2I8L_1
2LIW_1	2LIW_1
2LIW_1	2LIU_1
2PFC_1	2PFC_1
2QMI_1	2QMI_1
2OJQ_1	2OJQ_1
2R05_1	2R05_1
2R05_1	2R02_1
2R05_1	2R03_1
2UUY_2	2UUY_2
2UUY_2	2UUX_1
2UXN_2	2UXN_2
2VX3_1	2VX3_1
2VX3_1	2WO6_1
2VX3_1	3K2L_1
2PEO_1	2PEO_1
2X1M_1	2X1M_1
2X1M_1	2X1L_1
2X1M_1	6AX8_1
2XT4_1	2XT4_1
2XT4_1	2XT2_1
2XZD_2	2XZD_2
2XZD_2	2CDR_2
2XZD_2	2CNK_2
2XZD_2	2CNO_2
2XZD_2	2CNN_2
2XZD_2	2CNL_2
2XZD_2	2C2K_2
2XZD_2	2C2O_2
2XZD_2	2C1E_2
2XZD_2	2C2M_2
2XZD_2	5IC4_2
2XZD_2	5IC6_2
2XZD_2	3GJQ_2
2XZD_2	3GJR_2
2XZD_2	3GJS_2
2XZD_2	3GJT_2
2XZD_2	2H5I_2
2XZD_2	2H65_2
2XZD_2	2H5J_2
2XZD_2	1GFW_2
2XZD_2	2QLF_2
2XZD_2	2QLJ_2
2XZD_2	2QL7_2
2XZD_2	2QL5_2
2XZD_2	2QL9_2
2XZD_2	2QLB_2
2XZD_2	1I51_2
2XZD_2	2CJX_2
2XZD_2	2CJY_2
2XZD_2	2DKO_2
2XZD_2	2Y0B_2
2XZD_2	1RE1_2
2XZD_2	1RHQ_2
2XZD_2	1RHU_2
2XZD_2	1RHJ_2
2XZD_2	1RHM_2
2XZD_2	1RHK_2
2XZD_2	1RHR_2
2XZD_2	6CKZ_2
2XZD_2	6CL0_2
2XZD_2	6CL2_2
2XZD_2	6CL1_2
2XZD_2	3KJF_2
2Y0B_3	2Y0B_3
2Y0B_3	2XZD_3
2Z9I_1	2Z9I_1
2Y32_1	2Y32_1
3D2F_1	3D2F_1
3D2F_1	3D2E_1
3AQF_1	3AQF_1
3AQF_1	3AQE_1
3DLS_1	3DLS_1
3FLB_1	3FLB_1
3FLB_1	3FLA_1
3EC1_1	3EC1_1
3G60_1	3G60_1
3G60_1	3G5U_1
3G60_1	3G61_1
3HOA_1	3HOA_1
3HOA_1	3HQ2_1
3IO2_1	3IO2_1
3IO2_1	3T92_1
3KT9_1	3KT9_1
3CKF_1	3CKF_1
3CKF_1	2I5V_1
3CKF_1	2OYB_1
3CKF_1	6J47_1
3CKF_1	6J49_1
3CKF_1	6J5M_1
3CKF_1	5B2A_1
3CKF_1	6J5R_1
3CKF_1	6J5P_1
3CKF_1	6J5Q_1
3CKF_1	6J5O_1
3CKF_1	6J5N_1
3CKF_1	6J6C_1
3CKF_1	6J48_1
3CKF_1	2I5Z_1
3CKF_1	6J6B_1
3CKF_1	6J6D_1
3CKF_1	6J6E_1
3LF6_1	3LF6_1
3LF9_1	3LF9_1
3LF9_1	3LHP_3
3LH2_1	3LH2_1
3FHV_1	3FHV_1
3FHV_1	3FHU_1
3LEF_1	3LEF_1
3LG7_1	3LG7_1
3KFK_1	3KFK_1
3KFK_1	3KFE_1
3KFK_1	3KFB_1
3NAZ_1	3NAZ_1
3NAZ_1	3NCH_1
3NAZ_1	3O3C_1
3NAZ_1	3NB0_1
3MCB_1	3MCB_1
3MCB_1	3MCE_1
3MCB_2	3MCB_2
3LJQ_1	3LJQ_1
3LJQ_1	9GAA_1
3LJQ_1	9GAC_1
3LJQ_1	9GAF_1
3LJQ_1	1P4V_1
3LJQ_1	1P4K_1
3PG0_1	3PG0_1
3QBR_1	3QBR_1
3O1F_2	3O1F_2
3O1F_2	3O2O_1
3O1F_2	3O1F_1
3O1F_2	3DNJ_1
3O1F_2	3GQ0_1
3O1F_2	3G1B_1
3O1F_2	3G3P_1
3PMK_1	3PMK_1
3PMK_2	3PMK_2
3ROF_1	3ROF_1
3QB8_1	3QB8_1
3SYL_1	3SYL_1
3SYL_1	3ZUH_1
3SYL_1	3SYK_1
3TWQ_1	3TWQ_1
3TWQ_1	3TWS_1
3TWQ_1	3TWT_1
3TWQ_1	3TWV_1
3TWQ_1	3TWX_1
3TWQ_1	3TWW_1
3TWQ_1	5BXO_1
3TWQ_1	5BXU_1
3TWQ_1	3TWR_1
3TWQ_1	3TWU_1
3TWQ_1	4Z68_1
3TX7_2	3TX7_2
3MKS_2	3MKS_2
3MKS_2	1NEX_2
3MKS_2	3V7D_2
3UNE_11	3UNE_11
3UNE_11	7V5M_12
3UNE_11	7V5G_5
3UNE_11	5LEY_11
3UNE_11	5LEZ_11
3UNE_11	5LF0_11
3UNE_11	5LF1_11
3UNE_11	5LF6_12
3UNE_11	5LF7_11
3UNE_11	5LEX_11
3UNE_11	5LE5_11
3UNE_11	5LF3_11
3UNE_11	5LF4_11
3UNE_11	3UNF_11
3UNE_11	3UNH_11
3UNE_11	3UNB_11
3UNE_11	1RYP_12
3UNE_11	3MG4_11
3UNE_11	3MG6_11
3UNE_11	3MG7_11
3UNE_11	3MG0_11
3UNE_11	3MG8_11
3UNE_11	1G0U_11
3UNE_11	4NNN_11
3UNE_11	4NO6_11
3UNE_11	4NO8_11
3UNE_11	4NO9_11
3UNE_11	4NNW_11
3UNE_11	4NO1_11
3UNE_11	3UN4_11
3UNE_11	3UN8_11
3UNE_11	5JHS_11
3UNE_11	5JHR_11
3UNE_11	1FNT_12
3UNE_11	4QBY_11
3UNE_11	2ZCY_11
3UNE_11	3BDM_11
1ZBK_1	1ZBK_1
4MZ9_1	4MZ9_1
6P7J_1	6P7J_1
2R5M_1	2R5M_1
2R5M_1	4EDU_1
2R5M_1	2R57_1
2R5M_1	2R58_1
2R5M_1	2R5A_1
5EIV_1	5EIV_1
5EIV_1	5CJB_1
5EIV_1	5CJ8_1
5EIV_1	5EIQ_1
2MP8_1	2MP8_1
1SO8_1	1SO8_1
1SO8_1	1E3W_1
1SO8_1	1E3W_2
1SO8_1	1E6W_1
1SO8_1	1E3S_1
1SO8_1	1U7T_1
5W8F_1	5W8F_1
5W8F_1	3KZ0_1
5W8F_1	5W89_1
5W8F_1	2KBW_1
6HKS_1	6HKS_1
6HKS_1	3NFK_1
6HKS_1	3NFL_1
6HKS_1	5EYZ_1
6HKS_1	8CQY_1
6HKS_1	8OEP_1
3WX5_1	3WX5_1
4JQI_1	4JQI_1
4IMJ_1	4IMJ_1
4IMJ_1	4IMI_1
4IMJ_1	6NPW_1
4IMJ_1	4YGX_1
4IMJ_2	4IMJ_2
4IMJ_2	4IMI_2
4IMJ_2	6NPW_2
4IMJ_2	4YGX_2
4IMJ_2	4H3H_2
4IMJ_2	4H3K_2
4IMJ_2	3O2Q_2
4IMJ_2	3O2S_2
5FB8_3	5FB8_3
4K6X_1	4K6X_1
5ZYS_1	5ZYS_1
5NDZ_1	5NDZ_1
5NDZ_1	5NDD_1
6CZM_1	6CZM_1
6CZM_1	6CZL_1
6TYU_1	6TYU_1
6TYU_1	6TYV_1
6TYU_1	6TYW_1
6TYU_1	6TYX_1
6TYU_1	6TYZ_1
6TYU_1	6TYT_1
6WSK_1	6WSK_1
5CKR_1	5CKR_1
6SMK_1	6SMK_1
5O9H_1	5O9H_1
1AH8_1	1AH8_1
1AH8_1	1AH6_1
1AH8_1	4XE2_1
1AH8_1	4XCJ_1
1AH8_1	4XKA_1
1AH8_1	4XKO_1
1AH8_1	4XCL_1
1AH8_1	4XC0_1
1AH8_1	4XD8_1
1AH8_1	4XDM_1
1YRK_1	1YRK_1
2FUU_1	2FUU_1
2TBV_1	2TBV_1
4WBD_1	4WBD_1
4XHC_1	4XHC_1
1BMQ_1	1BMQ_1
1BMQ_1	6BZ9_1
1BMQ_2	1BMQ_2
1BMQ_2	6BZ9_2
1A8R_1	1A8R_1
1A8R_1	1N3S_1
1A8R_1	1N3R_1
1A8R_1	1N3T_1
1CEO_1	1CEO_1
3TY3_1	3TY3_1
3TY3_1	3TY4_1
2QDF_1	2QDF_1
2QDF_1	2QCZ_1
1HUC_2	1HUC_2
1HUC_2	6AY2_1
1M61_1	1M61_1
1M61_1	2OQ1_1
1M61_1	1A81_1
3RFI_1	3RFI_1
3S55_1	3S55_1
3PZ6_1	3PZ6_1
3VPJ_1	3VPJ_1
3VPJ_1	3VPI_1
3VPJ_1	4EQA_1
3VPJ_1	4EQ8_1
3VPJ_2	3VPJ_2
3VV3_1	3VV3_1
3VVO_1	3VVO_1
3VVO_1	3VVR_1
3VVO_1	3VVS_1
3VVO_1	3VVN_1
3VVO_1	3VVP_1
3VVO_1	3W4T_1
3VVO_1	3WBN_1
3PXX_1	3PXX_1
3X0V_1	3X0V_1
3ZC9_1	3ZC9_1
3ZC9_1	3ZC8_1
3ZHE_1	3ZHE_1
3ZHE_2	3ZHE_2
4D0Y_1	4D0Y_1
4CMM_2	4CMM_2
4DWN_1	4DWN_1
4DWN_1	4FH0_1
4DOX_1	4DOX_1
4B2N_1	4B2N_1
4IP8_1	4IP8_1
4IP8_1	4IP9_1
4K3A_1	4K3A_1
4K3A_1	4K35_1
4LKD_1	4LKD_1
4LKD_1	4LKE_1
4LKD_1	4LKF_1
4KRU_1	4KRU_1
4NSV_1	4NSV_1
4NSV_1	1ARB_1
4NSV_1	1ARC_1
4NSV_1	4NSY_1
4N0H_1	4N0H_1
4N0H_1	4N0I_1
4N0H_2	4N0H_2
4N0H_2	4N0I_2
4N0H_3	4N0H_3
4N0H_3	4N0I_3
4O62_1	4O62_1
4O62_1	4Z0R_1
4KRT_1	4KRT_1
4PN1_1	4PN1_1
4PN1_1	4PN0_1
4OZ6_1	4OZ6_1
4A4Y_1	4A4Y_1
4RGB_1	4RGB_1
4S0T_2	4S0T_2
4S0T_2	4S0S_2
4O1S_1	4O1S_1
4TM1_1	4TM1_1
4TM1_1	4TM3_1
4TM1_1	4TM4_1
4TM1_1	4TLX_1
4TM1_1	4TM0_1
4TM1_1	4TLZ_1
4W79_1	4W79_1
4W79_1	3C9Q_1
4O1R_1	4O1R_1
4YFS_1	4YFS_1
4YFA_1	4YFA_1
4YFA_1	4YF9_1
4YFA_1	4YFB_1
4YFA_3	4YFA_3
4YFA_3	4YF9_3
4YFA_3	4YFB_3
4YPJ_1	4YPJ_1
4Z85_1	4Z85_1
4ZID_1	4ZID_1
4ZID_1	1FI3_1
4ZID_1	2PAC_1
5BUQ_1	5BUQ_1
5BUQ_1	5BUS_1
5BUQ_1	5BUR_1
4X9Z_1	4X9Z_1
5DA7_2	5DA7_2
5C9I_1	5C9I_1
5EB9_1	5EB9_1
5EB9_1	6LHF_4
5EB9_1	6LHG_4
5CXT_1	5CXT_1
5EDJ_1	5EDJ_1
5EDJ_1	5EDF_1
5DCP_1	5DCP_1
5DCP_1	4P3W_1
5DSS_1	5DSS_1
4Z7A_1	4Z7A_1
4Z7A_1	4ZFQ_1
5DM2_1	5DM2_1
5DM2_1	5DM1_1
5DM2_1	5DM4_1
5DM2_1	5DLY_1
5DM2_1	5DM0_1
5L04_1	5L04_1
5L04_1	5IXD_1
5L04_1	5IXI_1
5LOS_1	5LOS_1
5LX1_1	5LX1_1
5LX1_1	5LX0_1
5LX1_1	5LX4_1
5LX1_1	5LX7_1
5LX1_1	5NRT_1
5LX1_1	5NRU_1
5LX1_1	5LWZ_1
5LX1_1	5NS1_1
5LX1_1	5NRZ_1
5LX1_1	5NRX_1
5LX1_1	5NRY_1
5LX1_1	5NS2_1
5LX1_1	5NS5_1
5LXM_1	5LXM_1
5GXX_1	5GXX_1
5M09_1	5M09_1
5M09_1	5M07_1
5M09_1	5M06_1
5M09_1	5M08_1
5KDG_1	5KDG_1
5OBW_1	5OBW_1
5OBW_1	5OBY_1
5OBW_1	5OBX_1
5OBW_1	1DKG_2
5OBW_1	1BUP_1
5OBW_1	1S3X_1
5OBW_1	3D2E_2
5OBW_1	3D2F_2
5OBW_1	1QQM_1
